Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
1048,1209,582,946,1633,512,1049,509,547,809,2307
1354,1188,569,939,1622,543,1091,488,525,820,2337
1398,1005,558,948,1600,590,1168,457,524,800,2432
1532,953,514,1147,1671,633,1240,410,524,739,2431
1532,935,472,1391,1671,611,1339,403,524,705,2560
1532,935,472,1343,1691,611,1360,403,525,665,2721
1532,872,472,1240,1641,628,1391,403,522,640,2685
1532,849,472,1221,1668,665,1391,403,522,657,2553
1532,731,472,1222,1615,680,1382,403,531,614,2494
1532,702,472,1104,1602,675,1315,403,549,682,2301
1532,515,472,1070,1451,635,1184,403,549,711,2250
1527,504,472,1056,1158,589,1135,403,550,747,2230
1528,504,472,1020,1037,582,1141,350,550,720,2134
1521,469,472,898,1006,588,1142,350,550,711,2158
1493,479,507,881,1001,592,1169,350,550,712,2120
1489,437,517,868,1001,590,1242,350,550,709,2038
1489,338,517,871,982,607,1123,295,550,709,1975
1489,331,517,851,865,582,1160,315,546,808,1969
1517,331,563,863,705,490,1229,389,546,807,1773
1506,387,586,868,705,487,1139,321,428,823,1348
1500,412,573,954,719,487,1021,319,357,853,1256
1372,511,572,1036,727,486,1021,346,275,1387,1152
1371,509,650,1124,719,486,1019,244,78,1509,1126
1332,524,701,1188,691,486,962,248,52,1525,1057
1318,530,650,1172,510,530,867,248,52,1816,1107
1241,572,767,1200,341,526,823,250,73,1921,1153
1213,619,777,1205,260,473,815,253,73,1762,1253
1279,624,642,1197,199,536,814,253,73,1930,1253
1151,758,487,1182,284,536,785,247,73,2053,1185
1058,841,487,1182,293,536,785,211,68,2024,1129
1020,875,490,1181,286,536,772,209,63,1976,951
782,1048,491,1051,279,536,763,209,63,1983,958
550,1354,491,1036,295,505,622,209,123,2023,994
564,1398,491,1092,295,458,540,179,124,2022,994
437,1532,495,999,219,438,468,185,124,2035,968
438,1532,541,839,219,468,369,228,124,2035,839
438,1532,546,907,220,519,348,228,123,2036,695
443,1532,592,956,248,549,320,228,117,2036,674
445,1532,607,985,301,514,320,228,122,2008,677
445,1532,870,987,302,466,320,228,113,1997,681
445,1532,925,952,389,466,320,246,121,1967,681
445,1532,980,952,389,467,320,259,124,1992,681
445,1527,1012,1144,411,462,320,380,297,1991,626
443,1528,1212,1147,433,456,313,538,304,2022,586
443,1521,1216,1147,443,437,308,627,308,2019,531
434,1493,1181,1147,511,434,281,636,308,2226,531
434,1489,1171,1157,582,439,208,636,353,2271,531
434,1489,1171,1154,584,426,204,643,378,2320,531
434,1489,1211,1141,700,457,114,790,534,2221,531
406,1517,1275,1128,710,511,18,709,569,2298,507
361,1506,1382,1123,710,581,11,717,723,2325,501
342,1500,1380,1051,696,640,20,731,723,2312,501
314,1372,1419,980,688,720,44,692,723,1778,528
312,1371,1435,924,686,733,44,703,724,1715,513
312,1332,1402,859,726,743,40,847,719,1732,532
312,1318,1469,817,754,696,38,1129,719,1464,482
286,1241,1491,744,754,611,38,1244,733,1356,423
267,1213,1457,707,754,565,38,1244,733,1320,320
198,1279,1448,729,844,494,59,1244,735,1080,351
324,1151,1448,769,807,546,60,1245,751,874,350
366,1058,1448,769,794,604,61,1245,751,935,390
367,1020,1445,820,934,683,80,1299,751,978,441
364,782,1444,897,937,744,281,1321,751,963,434
262,550,1444,874,921,761,322,1334,691,970,362
329,564,1469,823,921,761,364,1334,690,994,266
322,437,1479,753,920,745,496,1328,697,981,253
321,438,1433,727,938,744,625,1268,697,1003,283
321,438,1428,670,916,707,625,1268,697,998,266
316,443,1382,668,890,694,620,1268,697,998,266
317,445,1367,708,797,692,625,1268,692,979,263
317,445,1105,758,793,691,626,1268,692,974,269
317,445,1050,780,706,691,628,1250,666,934,298
317,445,1091,851,728,690,629,1253,663,878,298
317,445,1059,717,706,690,631,1133,489,888,360
317,443,859,723,684,690,631,975,482,884,366
317,443,855,794,675,690,631,886,478,1047,383
317,434,1089,819,610,710,631,882,478,952,426
317,434,1246,815,539,710,631,925,433,1012,526
317,434,1349,923,537,708,632,926,423,969,526
317,434,1368,1135,420,705,635,753,339,967,582
317,406,1260,1167,409,692,635,748,345,890,594
317,361,1130,1219,410,648,655,759,205,840,599
317,342,1130,1280,485,589,646,745,205,823,620
402,314,1080,1305,563,525,622,757,205,854,638
438,312,986,1272,572,539,627,744,239,806,626
438,312,960,1285,555,543,629,596,240,834,601
440,312,857,1404,527,636,629,347,240,834,614
440,286,718,1400,655,636,629,232,224,859,615
471,267,694,1400,719,636,629,229,236,859,613
469,198,693,1378,645,636,608,229,234,918,644
422,324,693,1338,598,584,607,228,218,910,743
409,366,693,1355,597,533,650,228,218,835,734
409,367,693,1322,493,473,895,177,218,792,683
409,364,693,1341,503,413,809,158,229,792,763
410,262,693,1375,525,396,800,155,229,734,785
282,329,668,1426,525,402,892,174,229,711,787
282,322,654,1424,525,462,856,174,222,711,788
282,321,654,1374,507,433,729,174,222,689,786
282,321,654,1441,506,419,782,174,222,689,921
285,316,654,1452,504,381,813,174,222,731,931
282,317,654,1384,565,395,813,174,228,731,996
282,317,653,1331,595,511,815,174,240,731,992
282,317,653,1309,651,555,813,174,240,731,983
282,317,585,1336,673,774,815,159,240,731,983
282,317,646,1330,710,787,926,158,240,724,921
282,317,706,1334,780,787,927,158,240,700,914
282,317,708,1263,781,787,975,158,240,609,897
282,317,530,1263,778,767,1042,153,240,683,854
282,317,433,1267,781,762,1042,110,240,679,754
282,317,330,1161,781,784,1119,102,225,719,754
283,317,271,952,782,789,1123,102,153,716,698
284,317,267,920,782,773,1123,102,112,716,686
284,317,267,868,860,773,1103,83,106,716,681
284,317,267,1064,785,773,1105,83,110,716,723
202,402,267,1087,707,757,1114,98,110,745,682
287,438,295,1117,698,731,1245,195,73,772,679
299,438,328,1123,675,712,1385,242,72,711,693
326,440,393,1057,675,619,1423,220,80,687,680
370,440,405,1209,561,619,1423,229,61,708,679
518,471,430,1209,497,619,1423,229,49,726,679
525,469,465,1209,472,685,1450,229,53,667,600
432,422,466,1288,468,685,1519,229,160,666,499
403,409,498,1271,518,678,1475,229,183,666,460
402,409,750,1253,482,661,1211,227,183,666,523
402,409,809,1157,506,663,1097,427,172,666,453
401,410,818,1123,542,668,1069,517,177,666,482
401,282,818,1058,546,693,937,516,207,665,477
405,282,818,1021,551,626,841,517,207,665,534
413,282,818,1013,551,626,839,587,207,665,506
413,282,818,929,551,675,786,617,207,665,371
410,285,820,871,554,681,755,638,207,623,361
