Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
647,1016,774,493,921,653,1052,590,282,650,389,575,1184,1363,947,389,1450,720,386,563
437,1226,760,369,1049,663,1052,576,284,662,389,575,1431,1363,947,564,1470,783,391,656
363,1238,822,311,952,807,1048,591,275,671,389,575,1586,1363,947,600,1470,827,424,733
232,1330,855,161,1108,779,1072,540,330,671,389,595,1732,1363,339,695,1473,827,424,756
233,1330,855,148,1121,779,1070,542,330,671,389,620,1900,1363,284,770,1520,803,424,777
276,1331,855,110,1159,739,1091,561,296,687,407,620,1910,1363,318,820,1432,751,454,774
283,1381,758,207,1159,617,1182,592,296,687,407,620,1955,1363,318,890,1420,638,457,800
292,1381,751,214,1159,523,1191,677,296,687,407,629,2013,1363,318,890,1420,623,457,807
319,1363,769,212,1161,523,1184,684,296,681,413,656,2096,1363,265,900,1420,590,482,768
465,1362,770,212,1161,523,1184,684,296,676,417,720,2086,1363,266,925,1420,664,483,743
756,1291,861,212,1159,525,1171,697,296,676,382,720,2177,1363,266,956,1420,718,484,817
941,1187,989,216,1099,464,1258,712,315,676,363,720,2124,1293,246,956,1420,721,517,858
1001,1168,1016,201,887,667,1268,724,317,676,363,720,2111,1150,246,958,1378,772,501,963
1011,1164,1020,201,871,573,1378,480,561,661,378,720,2111,993,254,1051,1325,835,513,1182
1011,1164,1020,201,806,638,1337,521,561,656,383,720,2101,863,251,1043,1212,905,513,1220
1006,1081,1049,218,695,792,1339,521,560,559,430,699,2101,786,251,1023,1139,920,494,1399
1010,1014,1116,206,707,792,1339,521,552,456,527,611,2101,639,256,1049,1104,907,448,1389
1052,995,1135,206,707,787,1344,521,541,463,445,501,2101,612,259,829,744,947,311,1244
1038,990,1166,206,707,783,1348,521,471,437,522,378,2116,594,172,829,687,1042,278,1230
1022,989,1183,205,701,789,1349,521,471,437,450,339,2103,307,164,877,687,1034,272,1157
