Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
1633,415,618,688,731,554,1016,293,619,636,696,530,512,1049,509,547,809,2307,647,575,1184
1622,414,613,705,731,494,1053,316,619,636,611,526,543,1091,488,525,820,2337,437,575,1431
1600,221,720,813,731,494,1053,316,619,636,565,473,590,1168,457,524,800,2432,363,575,1586
1671,226,696,838,731,494,1053,250,685,636,494,536,633,1240,410,524,739,2431,232,595,1732
1671,226,636,898,715,510,1018,285,685,584,546,536,611,1339,403,524,705,2560,233,620,1900
1691,200,663,899,702,523,907,396,678,533,604,536,611,1360,403,525,665,2721,276,620,1910
1641,246,667,899,664,561,858,443,661,473,683,536,628,1391,403,522,640,2685,283,620,1955
1668,259,667,899,660,354,1022,487,663,413,744,536,665,1391,403,522,657,2553,292,629,2013
1615,312,636,933,645,323,1062,488,668,396,761,505,680,1382,403,531,614,2494,319,656,2096
1602,291,657,946,635,332,1003,517,693,402,761,458,675,1315,403,549,682,2301,465,720,2086
1451,420,677,948,575,392,980,540,626,462,745,438,635,1184,403,549,711,2250,756,720,2177
1158,695,691,952,567,400,980,540,626,433,744,468,589,1135,403,550,747,2230,941,720,2124
1037,816,691,952,567,400,980,491,675,419,707,519,582,1141,350,550,720,2134,1001,720,2111
1006,847,691,952,567,190,1190,485,681,381,694,549,588,1142,350,550,711,2158,1011,720,2111
1001,850,693,952,567,190,1177,492,673,395,692,514,592,1169,350,550,712,2120,1011,720,2101
1001,850,693,952,492,265,809,822,595,511,691,466,590,1242,350,550,709,2038,1006,699,2101
982,864,698,873,567,254,824,822,551,555,691,466,607,1123,295,550,709,1975,1010,611,2101
865,980,700,873,495,326,824,822,332,774,690,467,582,1160,315,546,808,1969,1052,501,2101
705,1141,700,822,546,326,824,822,319,787,690,462,490,1229,389,546,807,1773,1038,378,2116
705,1136,705,822,488,384,824,814,327,787,690,456,487,1139,321,428,823,1348,1022,339,2103
719,1132,696,834,489,384,824,773,368,787,690,437,487,1021,319,357,853,1256,985,224,2068
727,1132,696,791,532,384,824,770,369,767,710,434,486,1021,346,275,1387,1152,996,194,2068
719,1139,614,829,579,373,826,779,367,762,710,439,486,1019,244,78,1509,1126,1000,172,2068
691,1158,614,796,621,373,792,813,343,784,708,426,486,962,248,52,1525,1057,1061,172,2068
510,1317,470,936,647,373,792,812,311,789,705,457,530,867,248,52,1816,1107,1068,172,2008
341,1478,469,944,648,373,792,812,286,773,692,511,526,823,250,73,1921,1153,1076,171,1840
260,1559,469,929,630,406,792,812,260,773,648,581,473,815,253,73,1762,1253,1085,162,1747
199,1617,481,867,368,730,792,812,260,773,589,640,536,814,253,73,1930,1253,1096,162,1737
284,1620,481,854,380,731,674,930,260,757,525,720,536,785,247,73,2053,1185,1126,162,1462
293,1625,481,823,411,731,580,1024,259,731,539,733,536,785,211,68,2024,1129,1126,162,1349
286,1632,413,748,554,731,579,991,293,712,543,743,536,772,209,63,1976,951,1126,162,1331
279,1633,415,618,688,731,554,1016,293,619,636,696,536,763,209,63,1983,958,1126,162,1248
