Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
2057,116,295,458,817,536,1164,364,352,901,1119,444,989,803,721,441,521,1048
2057,167,299,458,817,536,1164,356,360,1010,1106,436,657,832,595,428,522,1354
1690,579,310,458,817,536,1055,435,390,1092,1050,383,610,757,502,433,522,1398
1871,589,336,458,811,542,1055,435,360,1091,1049,290,580,714,386,433,522,1532
1902,564,369,443,770,598,1055,435,330,1086,974,169,667,707,336,485,538,1532
1787,698,311,501,639,729,1002,488,287,1314,919,99,588,777,314,485,576,1532
1792,708,306,505,540,829,1002,488,225,1335,886,98,546,709,314,486,577,1532
1719,784,293,478,579,832,962,528,154,1203,802,98,497,704,278,517,660,1532
1719,784,271,500,440,971,860,630,154,1293,798,85,389,706,278,517,683,1532
1715,788,270,490,401,1021,857,633,144,1287,706,84,367,735,278,532,703,1532
1654,860,269,490,402,1004,859,648,144,1306,692,84,411,731,319,538,901,1532
1464,1055,268,237,656,1004,854,611,186,1325,691,84,430,698,319,578,1050,1527
1311,1208,266,239,642,997,812,674,186,1365,709,84,430,704,319,578,1017,1528
1217,1302,266,229,651,977,833,674,186,1364,709,88,434,712,319,578,985,1521
911,1608,266,229,633,980,811,711,186,1415,709,88,448,712,307,578,1026,1493
860,1659,266,229,633,980,811,698,179,1384,774,88,534,668,247,522,1079,1489
852,1671,266,229,633,854,937,690,187,1369,845,81,654,746,374,515,1118,1489
897,1669,207,245,676,725,1032,726,187,1359,845,263,683,904,374,513,1127,1489
948,1690,126,270,734,710,1032,741,187,1255,840,365,690,959,354,506,1179,1517
1015,1719,124,251,753,705,989,760,218,1248,833,356,694,1014,380,650,1086,1506
1006,1737,124,251,753,700,946,754,255,1166,815,354,748,1015,387,650,1073,1500
985,1758,124,251,723,728,729,864,364,1026,645,381,803,1015,387,635,1073,1372
967,1776,124,251,723,714,735,811,425,919,634,750,803,1015,387,608,1050,1371
964,1779,120,255,723,712,451,1097,425,844,602,750,815,1015,387,562,1072,1332
973,1779,96,279,698,718,458,1101,433,868,549,750,815,1015,391,545,1080,1318
973,1778,97,279,663,753,457,1102,433,898,549,750,793,1015,384,545,1102,1241
968,1783,97,279,599,805,467,1104,428,896,519,750,792,1036,357,545,1026,1213
925,1826,97,279,458,861,552,1104,402,900,535,750,790,1036,346,530,1016,1279
941,1841,93,283,458,822,590,1105,402,928,468,750,722,1039,345,528,1017,1151
904,1872,87,295,458,822,590,1105,402,928,417,750,746,914,311,530,1017,1058
903,1883,95,295,458,822,531,1164,402,928,351,736,780,836,247,525,1049,1020
708,2057,116,295,458,817,536,1164,364,878,357,736,991,738,230,500,1091,782
653,2057,167,299,458,817,536,1164,356,770,441,764,994,709,230,516,1091,550
597,1690,579,310,458,817,536,1055,435,708,604,771,978,697,230,513,1091,564
380,1871,589,336,458,811,542,1055,435,705,607,778,1049,628,230,513,1091,437
341,1902,564,369,443,770,598,1055,435,705,644,775,1086,622,224,461,1075,438
323,1787,698,311,501,639,729,1002,488,476,644,775,1304,591,224,461,1042,438
308,1792,708,306,505,540,829,1002,488,428,641,786,1243,601,225,460,1082,443
303,1719,784,293,478,579,832,962,528,428,641,786,1240,707,246,429,1059,445
303,1719,784,271,500,440,971,860,630,309,628,888,1200,706,258,429,1036,445
303,1715,788,270,490,401,1021,857,633,311,621,1042,1199,704,270,479,1021,445
292,1654,860,269,490,402,1004,859,648,309,622,1063,1145,801,229,518,817,445
290,1464,1055,268,237,656,1004,854,611,347,622,1083,1126,914,239,593,650,445
309,1311,1208,266,239,642,997,812,674,316,601,1086,1126,930,239,726,549,443
341,1217,1302,266,229,651,977,833,674,321,620,1077,1122,1066,240,745,482,443
343,911,1608,266,229,633,980,811,711,351,627,1080,1108,1066,431,746,440,434
344,860,1659,266,229,633,980,811,698,359,562,1148,1022,1066,444,746,387,434
357,852,1671,266,229,633,854,937,690,359,517,1139,902,988,339,666,348,434
357,897,1669,207,245,676,725,1032,726,339,556,951,873,830,427,605,339,434
283,948,1690,126,270,734,710,1032,741,339,556,848,866,775,433,609,279,406
187,1015,1719,124,251,753,705,989,760,337,556,837,884,720,417,526,273,361
178,1006,1737,124,251,753,700,946,754,337,570,837,830,732,446,558,273,342
181,985,1758,124,251,723,728,729,864,337,574,835,775,732,446,558,293,314
186,967,1776,124,251,723,714,735,811,337,708,485,775,777,446,555,293,312
192,964,1779,120,255,723,712,451,1097,367,708,485,763,880,446,555,273,312
183,973,1779,96,279,698,718,458,1101,342,749,485,776,999,442,555,292,312
183,973,1778,97,279,663,753,457,1102,391,778,485,835,1016,441,568,271,286
183,968,1783,97,279,599,805,467,1104,399,804,489,835,1042,464,568,271,267
183,925,1826,97,279,458,861,552,1104,388,982,489,914,1206,486,567,314,198
154,941,1841,93,283,458,822,590,1105,358,935,508,1079,1294,515,567,313,324
155,904,1872,87,295,458,822,590,1105,358,931,510,1071,1328,522,565,313,366
174,903,1883,95,295,458,822,531,1164,358,910,510,1087,1412,674,548,281,367
202,708,2057,116,295,458,817,536,1164,358,901,632,920,1412,674,553,230,364
202,653,2057,167,299,458,817,536,1164,355,816,672,917,1429,675,543,235,262
221,597,1690,579,310,458,817,536,1055,378,692,720,917,1499,687,544,241,329
221,380,1871,589,336,458,811,542,1055,378,689,713,846,1523,691,550,266,322
221,341,1902,564,369,443,770,598,1055,378,652,765,704,1519,762,554,266,321
224,323,1787,698,311,501,639,729,1002,378,652,780,463,1509,822,560,263,321
226,308,1792,708,306,505,540,829,1002,378,652,837,513,1499,832,560,228,316
226,303,1719,784,293,478,579,832,962,370,652,838,715,1315,817,573,168,317
226,303,1719,784,271,500,440,971,860,370,652,743,786,1308,805,594,255,317
227,303,1715,788,270,490,401,1021,857,388,652,592,812,1281,793,529,251,317
227,292,1654,860,269,490,402,1004,859,375,651,571,863,1146,793,484,251,317
224,290,1464,1055,268,237,656,1004,854,312,651,551,892,1031,783,369,251,317
221,309,1311,1208,266,239,642,997,812,297,651,548,1008,1008,783,236,251,317
272,341,1217,1302,266,229,651,977,833,296,632,548,1018,870,782,217,251,317
271,343,911,1608,266,229,633,980,811,215,625,545,1018,920,591,216,251,317
270,344,860,1659,266,229,633,980,811,219,628,477,1022,955,573,216,290,317
253,357,852,1671,266,229,633,854,937,219,782,466,1055,992,591,216,362,317
208,357,897,1669,207,245,676,725,1032,219,820,466,1231,992,516,187,396,317
208,283,948,1690,126,270,734,710,1032,219,824,462,1254,1207,510,190,443,317
208,187,1015,1719,124,251,753,705,989,211,824,534,1232,1211,500,129,447,317
208,178,1006,1737,124,251,753,700,946,211,804,547,1251,1219,634,106,447,317
205,181,985,1758,124,251,723,728,729,211,797,571,1251,1224,717,106,427,402
200,186,967,1776,124,251,723,714,735,211,790,600,1256,1179,721,162,427,438
194,192,964,1779,120,255,723,712,451,181,807,622,1327,1076,768,184,425,438
194,183,973,1779,96,279,698,718,458,181,784,648,1358,976,805,189,394,440
194,183,973,1778,97,279,663,753,457,102,816,654,1299,972,875,227,393,440
194,183,968,1783,97,279,599,805,467,94,821,650,1306,954,958,252,385,471
194,183,925,1826,97,279,458,861,552,124,645,650,1233,831,950,252,329,469
192,154,941,1841,93,283,458,822,590,154,628,631,1068,740,1056,252,329,422
198,155,904,1872,87,295,458,822,590,197,688,629,1040,706,1104,252,415,409
161,174,903,1883,95,295,458,822,531,259,697,629,989,621,977,252,417,409
133,202,708,2057,116,295,458,817,536,330,736,507,945,621,977,263,453,409
133,202,653,2057,167,299,458,817,536,330,739,439,977,604,976,265,517,410
119,221,597,1690,579,310,458,817,536,297,700,384,1094,534,964,318,526,282
119,221,380,1871,589,336,458,811,542,297,700,388,1112,510,960,340,512,282
174,221,341,1902,564,369,443,770,598,297,725,340,1112,510,889,342,529,282
218,224,323,1787,698,311,501,639,729,297,725,326,1158,475,829,336,527,282
238,226,308,1792,708,306,505,540,829,297,725,258,1108,475,818,336,523,285
317,226,303,1719,784,293,478,579,832,297,725,257,917,475,815,323,523,282
317,226,303,1719,784,271,500,440,971,317,731,250,852,475,823,302,436,282
316,227,303,1715,788,270,490,401,1021,297,735,247,888,475,846,302,435,282
316,227,292,1654,860,269,490,402,1004,292,735,247,930,475,856,302,435,282
316,224,290,1464,1055,268,237,656,1004,292,735,247,927,475,915,342,435,282
312,221,309,1311,1208,266,239,642,997,287,735,290,811,475,922,383,435,282
252,272,341,1217,1302,266,229,651,977,295,735,492,801,469,922,383,443,282
318,271,343,911,1608,266,229,633,980,295,735,578,803,419,922,406,472,282
358,270,344,860,1659,266,229,633,980,283,732,578,857,384,922,470,515,282
402,253,357,852,1671,266,229,633,854,283,552,578,825,347,877,476,446,282
423,208,357,897,1669,207,245,676,725,283,475,578,696,347,906,476,412,283
517,208,283,948,1690,126,270,734,710,283,471,578,673,132,906,460,514,284
612,208,187,1015,1719,124,251,753,705,288,471,505,685,128,906,463,510,284
690,208,178,1006,1737,124,251,753,700,314,471,492,674,107,736,455,510,284
846,205,181,985,1758,124,251,723,728,314,500,448,674,102,653,564,510,202
915,200,186,967,1776,124,251,723,714,314,373,471,669,102,682,568,510,287
917,194,192,964,1779,120,255,723,712,314,311,451,598,102,635,545,542,299
917,194,183,973,1779,96,279,698,718,352,289,479,716,83,598,551,563,326
961,194,183,973,1778,97,279,663,753,360,228,473,724,136,528,500,569,370
961,194,183,968,1783,97,279,599,805,390,198,473,730,107,520,475,569,518
1193,194,183,925,1826,97,279,458,861,360,190,473,747,66,517,475,571,525
1193,192,154,941,1841,93,283,458,822,330,275,473,747,66,382,475,571,432
1186,198,155,904,1872,87,295,458,822,287,276,473,747,66,327,545,523,403
1264,161,174,903,1883,95,295,458,822,225,267,473,747,90,302,568,538,402
1330,133,202,708,2057,116,295,458,817,154,228,475,747,92,317,559,503,402
1330,133,202,653,2057,167,299,458,817,154,486,475,715,92,317,565,502,401
1327,119,221,597,1690,579,310,458,817,144,507,475,598,198,317,607,694,401
1358,119,221,380,1871,589,336,458,811,144,507,476,579,279,427,590,892,405
1303,174,221,341,1902,564,369,443,770,186,533,540,579,370,432,584,877,413
1297,218,224,323,1787,698,311,501,639,186,533,683,532,370,432,584,877,413
1275,238,226,308,1792,708,306,505,540,186,632,721,532,398,432,584,984,410
1196,317,226,303,1719,784,293,478,579,186,632,776,521,413,557,584,984,452
1196,317,226,303,1719,784,271,500,440,179,626,776,515,433,571,677,992,464
1238,316,227,303,1715,788,270,490,401,187,627,935,453,444,548,766,992,500
1262,316,227,292,1654,860,269,490,402,187,627,983,360,479,538,766,992,500
