Accum_y-0,T-1,Accum_y-1
7.540622e+00,4.553877e+00,6.746412e+00
7.629004e+00,4.753590e+00,6.803505e+00
7.629004e+00,5.117994e+00,6.917706e+00
7.432484e+00,6.361302e+00,6.995766e+00
7.534228e+00,6.378426e+00,6.994850e+00
7.550661e+00,6.335054e+00,6.990257e+00
7.488294e+00,6.548219e+00,7.180831e+00
7.491088e+00,6.562444e+00,7.196687e+00
7.449498e+00,6.664409e+00,7.092574e+00
7.449498e+00,6.664409e+00,7.164720e+00
7.447168e+00,6.669498e+00,7.160069e+00
7.410952e+00,6.756932e+00,7.174724e+00
7.288928e+00,6.961296e+00,7.189168e+00
7.178545e+00,7.096721e+00,7.218910e+00
7.104144e+00,7.171657e+00,7.218177e+00
6.814543e+00,7.382746e+00,7.254885e+00
6.756932e+00,7.413970e+00,7.232733e+00
6.747587e+00,7.421178e+00,7.221836e+00
6.799056e+00,7.419980e+00,7.214504e+00
6.854355e+00,7.432484e+00,7.134891e+00
6.922644e+00,7.449498e+00,7.129298e+00
6.913737e+00,7.459915e+00,7.061334e+00
6.892642e+00,7.471932e+00,6.933423e+00
6.874198e+00,7.482119e+00,6.823286e+00
6.871091e+00,7.483807e+00,6.738152e+00
6.880384e+00,7.483807e+00,6.766192e+00
6.880384e+00,7.483244e+00,6.800170e+00
6.875232e+00,7.486053e+00,6.797940e+00
6.829794e+00,7.509883e+00,6.802395e+00
6.846943e+00,7.518064e+00,6.833032e+00
6.806829e+00,7.534763e+00,6.833032e+00
6.805723e+00,7.540622e+00,6.833032e+00
6.562444e+00,7.629004e+00,6.777647e+00
6.481577e+00,7.629004e+00,6.646391e+00
6.391917e+00,7.432484e+00,6.562444e+00
5.940171e+00,7.534228e+00,6.558198e+00
5.831882e+00,7.550661e+00,6.558198e+00
5.777652e+00,7.488294e+00,6.165418e+00
5.730100e+00,7.491088e+00,6.059123e+00
5.713733e+00,7.449498e+00,6.059123e+00
5.713733e+00,7.449498e+00,5.733341e+00
5.713733e+00,7.447168e+00,5.739793e+00
5.676754e+00,7.410952e+00,5.733341e+00
5.669881e+00,7.288928e+00,5.849325e+00
5.733341e+00,7.178545e+00,5.755742e+00
5.831882e+00,7.104144e+00,5.771441e+00
5.837730e+00,6.814543e+00,5.860786e+00
5.840642e+00,6.756932e+00,5.883322e+00
5.877736e+00,6.747587e+00,5.883322e+00
5.877736e+00,6.799056e+00,5.826000e+00
5.645447e+00,6.854355e+00,5.826000e+00
5.231109e+00,6.922644e+00,5.820083e+00
5.181784e+00,6.913737e+00,5.820083e+00
5.198497e+00,6.892642e+00,5.820083e+00
5.225747e+00,6.874198e+00,5.820083e+00
5.257495e+00,6.871091e+00,5.905362e+00
5.209486e+00,6.880384e+00,5.834811e+00
5.209486e+00,6.880384e+00,5.968708e+00
5.209486e+00,6.875232e+00,5.988961e+00
5.209486e+00,6.829794e+00,5.961005e+00
5.036953e+00,6.846943e+00,5.880533e+00
5.043425e+00,6.806829e+00,5.880533e+00
5.159055e+00,6.805723e+00,5.880533e+00
5.308268e+00,6.562444e+00,5.880533e+00
5.308268e+00,6.481577e+00,5.872118e+00
5.398163e+00,6.391917e+00,5.934894e+00
5.398163e+00,5.940171e+00,5.934894e+00
5.398163e+00,5.831882e+00,5.934894e+00
5.411646e+00,5.777652e+00,5.934894e+00
5.420535e+00,5.730100e+00,5.934894e+00
5.420535e+00,5.713733e+00,5.913503e+00
5.420535e+00,5.713733e+00,5.913503e+00
5.424950e+00,5.713733e+00,5.961005e+00
5.424950e+00,5.676754e+00,5.926926e+00
5.411646e+00,5.669881e+00,5.743003e+00
5.398163e+00,5.733341e+00,5.693732e+00
5.605802e+00,5.831882e+00,5.690359e+00
5.602119e+00,5.837730e+00,5.370638e+00
5.598422e+00,5.840642e+00,5.389072e+00
5.533389e+00,5.877736e+00,5.389072e+00
5.337538e+00,5.877736e+00,5.389072e+00
5.337538e+00,5.645447e+00,5.389072e+00
5.337538e+00,5.231109e+00,5.351858e+00
5.337538e+00,5.181784e+00,5.351858e+00
5.323010e+00,5.198497e+00,5.351858e+00
5.298317e+00,5.225747e+00,5.351858e+00
5.267858e+00,5.257495e+00,5.198497e+00
5.267858e+00,5.209486e+00,5.198497e+00
5.267858e+00,5.209486e+00,4.624973e+00
5.267858e+00,5.209486e+00,4.543295e+00
5.267858e+00,5.209486e+00,4.820282e+00
5.257495e+00,5.036953e+00,5.036953e+00
5.288267e+00,5.043425e+00,5.283204e+00
5.081404e+00,5.159055e+00,5.556828e+00
4.890349e+00,5.308268e+00,5.799093e+00
4.890349e+00,5.308268e+00,5.799093e+00
4.779123e+00,5.398163e+00,5.693732e+00
4.779123e+00,5.398163e+00,5.693732e+00
5.159055e+00,5.398163e+00,5.693732e+00
5.384495e+00,5.411646e+00,5.693732e+00
5.472271e+00,5.420535e+00,5.693732e+00
5.758902e+00,5.420535e+00,5.693732e+00
5.758902e+00,5.420535e+00,5.758902e+00
5.755742e+00,5.424950e+00,5.693732e+00
5.755742e+00,5.424950e+00,5.676754e+00
5.755742e+00,5.411646e+00,5.676754e+00
5.743003e+00,5.398163e+00,5.659482e+00
5.529429e+00,5.605802e+00,5.686975e+00
5.762051e+00,5.602119e+00,5.686975e+00
